Timestamp,Log Message,Message,User Path,Customer Path,Lot ID,Wafer ID,Port ID,Date,Time
2022-01-10 16:03:18.371000,Lot Start <DSW\Matching_Completed\a09bfbb_PM>,Lot Start ,DSW,Matching_Completed,a09bfbb_PM,,,2022-01-10 00:00:00,16:03:18.371000
2022-01-10 16:05:36.994000,Duration = 00:01:48<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbb_PM. Wafer ID: @10@001. Port No: 1>,00:01:48,DSW,Matching_Completed,a09bfbb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:05:36.994000
2022-01-10 16:06:57.678000,Duration = 00:01:21<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbb_PM. Wafer ID: @10@002. Port No: 1>,00:01:21,DSW,Matching_Completed,a09bfbb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:06:57.678000
2022-01-10 16:08:20.498000,Duration = 00:01:22<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbb_PM. Wafer ID: @10@003. Port No: 1>,00:01:22,DSW,Matching_Completed,a09bfbb_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:08:20.498000
2022-01-10 16:08:31.005000,Lot End <DSW\Matching_Completed\a09bfbb_PM>,Lot End ,DSW,Matching_Completed,a09bfbb_PM,,,2022-01-10 00:00:00,16:08:31.005000
2022-01-10 16:08:32.722000,Lot Start <DSW\Matching_Completed\a09bfbbhh_PM>,Lot Start ,DSW,Matching_Completed,a09bfbbhh_PM,,,2022-01-10 00:00:00,16:08:32.722000
2022-01-10 16:10:37.250000,Duration = 00:01:38<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbhh_PM. Wafer ID: @10@001. Port No: 1>,00:01:38,DSW,Matching_Completed,a09bfbbhh_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:10:37.250000
2022-01-10 16:11:56.758000,Duration = 00:01:19<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbhh_PM. Wafer ID: @10@002. Port No: 1>,00:01:19,DSW,Matching_Completed,a09bfbbhh_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:11:56.758000
2022-01-10 16:13:21.430000,Duration = 00:01:23<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbhh_PM. Wafer ID: @10@003. Port No: 1>,00:01:23,DSW,Matching_Completed,a09bfbbhh_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:13:21.430000
2022-01-10 16:13:32.125000,Lot End <DSW\Matching_Completed\a09bfbbhh_PM>,Lot End ,DSW,Matching_Completed,a09bfbbhh_PM,,,2022-01-10 00:00:00,16:13:32.125000
2022-01-10 16:13:32.809000,Lot Start <DSW\Matching_Completed\a09bfbbvv_PM>,Lot Start ,DSW,Matching_Completed,a09bfbbvv_PM,,,2022-01-10 00:00:00,16:13:32.809000
2022-01-10 16:15:37.388000,Duration = 00:01:39<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbvv_PM. Wafer ID: @10@001. Port No: 1>,00:01:39,DSW,Matching_Completed,a09bfbbvv_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:15:37.388000
2022-01-10 16:16:57.429000,Duration = 00:01:20<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbvv_PM. Wafer ID: @10@002. Port No: 1>,00:01:20,DSW,Matching_Completed,a09bfbbvv_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:16:57.429000
2022-01-10 16:18:18.301000,Duration = 00:01:21<Wafer Run - Lot name: DSW\Matching_Completed\a09bfbbvv_PM. Wafer ID: @10@003. Port No: 1>,00:01:21,DSW,Matching_Completed,a09bfbbvv_PM. ,@10@003. ,1,2022-01-10 00:00:00,16:18:18.301000
2022-01-10 16:18:29.563000,Lot End <DSW\Matching_Completed\a09bfbbvv_PM>,Lot End ,DSW,Matching_Completed,a09bfbbvv_PM,,,2022-01-10 00:00:00,16:18:29.563000
2022-01-10 16:18:30.256000,Lot Start <DSW\Matching_Completed\a09bfudb_PM>,Lot Start ,DSW,Matching_Completed,a09bfudb_PM,,,2022-01-10 00:00:00,16:18:30.256000
2022-01-10 16:20:24.174000,Duration = 00:01:28<Wafer Run - Lot name: DSW\Matching_Completed\a09bfudb_PM. Wafer ID: @10@001. Port No: 1>,00:01:28,DSW,Matching_Completed,a09bfudb_PM. ,@10@001. ,1,2022-01-10 00:00:00,16:20:24.174000
2022-01-10 16:21:49.732000,Duration = 00:01:24<Wafer Run - Lot name: DSW\Matching_Completed\a09bfudb_PM. Wafer ID: @10@002. Port No: 1>,00:01:24,DSW,Matching_Completed,a09bfudb_PM. ,@10@002. ,1,2022-01-10 00:00:00,16:21:49.732000
