,LotID,Lot
0,1,<blank>
1,2,AE010983
2,3,AE011798
3,4,AE011799
4,5,AE014132
5,6,AE014414
6,7,AE015218
7,8,AE105532
8,9,AE105799
9,10,AE106733
10,11,AE107347
11,12,AE109694
12,13,AE109696
13,14,AE111558
14,15,AE111721
15,16,AE113061
16,17,AE113775
17,18,AE114341
18,19,AE114400
19,20,AE114400/2
20,21,AE115085
21,22,AE115785
22,23,AE115941
23,24,AE117138
24,25,AE118374
25,26,AE118540
26,27,AE119431
27,28,AE119659
28,29,AE120269
29,30,AE121134
30,31,AE122909
31,32,AE123169
32,33,AE123250
33,34,AE124088
34,35,AE124910
35,36,AE125040
36,37,AE125352
37,38,AE125927
38,39,AE126030
39,40,AE126630
40,41,AE126778
41,42,AE126779
42,43,AE126890
43,44,AE126966
44,45,AE126984
45,46,AE127163
46,47,AE127180/1
47,48,AE127180/2
48,49,AE127187
49,50,AE127261
50,51,AE127346
51,52,AE127621
52,53,AE128089
53,54,AE128224
54,55,AE128302
55,56,AE128330
56,57,AE128492
57,58,AE128512
58,59,AE128516
59,60,AE128645
60,61,AE128647
61,62,AE128755
62,63,AE128781
63,64,AE128850
64,65,AE128908
65,66,AE129229
66,67,AE200010
67,68,AE200184
68,69,AE200185
69,70,AE200186
70,71,AE200187
71,72,AE200188
72,73,AE200189
73,74,AE200190
74,75,AE200251
75,76,AE200253
76,77,AE200363
77,78,AE200364
78,79,AE200365
79,80,AE200366
80,81,AE200367
81,82,AE200368
82,83,AE200369
83,84,AE200370
84,85,AE200371
85,86,AE200372
86,87,AE200373
87,88,AE200374
88,89,AE200375
89,90,AE200376
90,91,AE200377
91,92,AE200378
92,93,AE200379
93,94,AE200435
94,95,AE200436
95,96,AE200437
96,97,AE200438
97,98,AE200439
98,99,AE200440
99,100,AE200679
100,101,AE200680
101,102,AE200681
102,103,AE200744
103,104,AE200996
104,105,AE201069
105,106,AE201078
106,107,AE201079
107,108,AE201080
108,109,AE201089
109,110,AE201089/2
110,111,AE201252
111,112,AE201377
112,113,AE201517
113,114,AE201594
114,115,AE201728
115,116,AE201729
116,117,AE201909
117,118,AE201911
118,119,AE201991
119,120,AE202132
120,121,AE202151
121,122,AE202340
122,123,AE202344
123,124,AE202348
124,125,AE202362
125,126,AE202568
126,127,AE202569
127,128,AE202741
128,129,AE202827
129,130,AE202928
130,131,AE202966
131,132,AE203069
132,133,AE203240
133,134,AE203279
134,135,AE203383
135,136,AE203383/5
136,137,AE203603
137,138,AE203610
138,139,AE203630
139,140,AE203721
140,141,AE203732
141,142,AE203995
142,143,AE203997
143,144,AE204140
144,145,AE204145
145,146,AE204241
146,147,AE204358
147,148,AE204381
148,149,AE204474
149,150,AE204689
150,151,AE204972
151,152,AE205015
152,153,AE205041
153,154,AE205045
154,155,AE205074
155,156,AE205076
156,157,AE205077
157,158,AE205078
158,159,AE205126
159,160,AE205185
160,161,AE205412
161,162,AE205561
162,163,AE205655
163,164,AE205752
164,165,AE205752/4
165,166,AE205892
166,167,AE205896
167,168,AE205943
168,169,AE206359
169,170,AE206528
170,171,AE206605
171,172,AE206643
172,173,AE206644
173,174,AE206811
174,175,AE206973
175,176,AE207169
176,177,AE207185
177,178,AE207291
178,179,AE207560
179,180,AE207708
180,181,AE207773
181,182,AE207774
182,183,AE207784
183,184,AE207870
184,185,AE208102
185,186,AE208103
186,187,AE208105
187,188,AE208213
188,189,AE208225
189,190,AE208375
190,191,AE208462
191,192,AE208627
192,193,AE208639
193,194,AE208681
194,195,AE208781
195,196,AE208928
196,197,AE208949
197,198,AE208964
198,199,AE209139/1
199,200,AE209414
200,201,AE209489
201,202,AE209615
202,203,AE209757
203,204,AE209906
204,205,AE209924
205,206,AE209968
206,207,AE210320
207,208,AE210440
208,209,AE210579
209,210,AE210660
210,211,AE210774
211,212,AE210790
212,213,AE210981
213,214,AE211085
214,215,AE211094
215,216,AE211311
216,217,AL000681/8
217,218,AL000691
218,219,AL005411
219,220,AL103672/20
220,221,AL104015
221,222,AL105097
222,223,AL105294/14
223,224,AL108558/60
224,225,AL110437/1
225,226,AL110437/14
226,227,AL110437/18
227,228,AL113956
228,229,AL115480
229,230,AL115779
