KTLogging Service
Event Type	Timestamp	Log Message	Category	User	Thread ID	Error Code	Application	Machine
<information>	2022-01-13 00:00:01.019	HEADER: 2022-01-12 09:20:17.700~Version 10.10.640.1.3~System 1350185~Model 2935						
<information>	2022-01-13 00:00:01.013	DoRun - Update Swath 9 die row 4	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:01.013	RecipeName:AE126030_D07_L15S17,TestID:1,Swath Number:9,Swath Type:DEFECT_SWATH,Die Row:1,Swath Top(RelY um):16657.23,Swath Bottom(RelY um):17075.85,Swath Top X Wafer Position(um):-64991.01,Swath Top Y Wafer Position(um):32843.10,Swath Bottom X Wafer Position(um):65009.64,Swath Bottom Y Wafer Position(um):32424.49	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:01.013	Inspecting...Swath 10 of 82.	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.003	DoRun - Polling got 1000 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.016	DoRun - Polling got 230 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.072	Memory load: 44, Free RAM: 18183 MB, Free virtual: 8385446 MB, Free paging: 28196 MB<Pass Run - Lot name: AE126030_D07_L15S17, Wafer ID: @07, Test No: 1, PassNumber: 1, PassType: NormalPass, Port No: 1>	MainUI.General_System	kttool	2124	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.072	DoRun - #defects (PlPrNuQu): 10598 9598 0 1	MainUI.General_System	kttool	2124	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.199	Memory load: 44, Free RAM: 18182 MB, Free virtual: 8385446 MB, Free paging: 28196 MB<Pass Run - Lot name: AE126030_D07_L15S17, Wafer ID: @07, Test No: 1, PassNumber: 1, PassType: NormalPass, Port No: 1>	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:02.200	DoRun - #defects (PlPrNuQu): 10598 10598 0 0	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:07.523	DoRun - Polling, no defects for the last 5 seconds.	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:12.536	DoRun - Polling, no defects for the last 10 seconds.	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:15.824	DoRun - Update Swath 10 die row 4	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:15.824	RecipeName:AE126030_D07_L15S17,TestID:1,Swath Number:10,Swath Type:DEFECT_SWATH,Die Row:1,Swath Top(RelY um):16238.97,Swath Bottom(RelY um):16657.59,Swath Top X Wafer Position(um):-64991.01,Swath Top Y Wafer Position(um):33261.37,Swath Bottom X Wafer Position(um):65009.64,Swath Bottom Y Wafer Position(um):32842.75	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:15.824	Inspecting...Swath 11 of 82.	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.604	DoRun - Polling got 1000 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.657	DoRun - Polling got 1000 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.676	DoRun - Polling got 336 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.749	Memory load: 44, Free RAM: 18175 MB, Free virtual: 8385446 MB, Free paging: 28193 MB<Pass Run - Lot name: AE126030_D07_L15S17, Wafer ID: @07, Test No: 1, PassNumber: 1, PassType: NormalPass, Port No: 1>	MainUI.General_System	kttool	14012	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.749	DoRun - #defects (PlPrNuQu): 12934 10934 0 2	MainUI.General_System	kttool	14012	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.800	Memory load: 44, Free RAM: 18173 MB, Free virtual: 8385446 MB, Free paging: 28193 MB<Pass Run - Lot name: AE126030_D07_L15S17, Wafer ID: @07, Test No: 1, PassNumber: 1, PassType: NormalPass, Port No: 1>	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.800	DoRun - #defects (PlPrNuQu): 12934 11934 0 1	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.841	Memory load: 44, Free RAM: 18173 MB, Free virtual: 8385446 MB, Free paging: 28193 MB<Pass Run - Lot name: AE126030_D07_L15S17, Wafer ID: @07, Test No: 1, PassNumber: 1, PassType: NormalPass, Port No: 1>	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:16.841	DoRun - #defects (PlPrNuQu): 12934 12934 0 0	MainUI.General_System	kttool	2660	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:21.183	DoRun - Polling, no defects for the last 5 seconds.	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:26.191	DoRun - Polling, no defects for the last 10 seconds.	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:30.552	DoRun - Update Swath 11 die row 4	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:30.552	RecipeName:AE126030_D07_L15S17,TestID:1,Swath Number:11,Swath Type:DEFECT_SWATH,Die Row:1,Swath Top(RelY um):15820.71,Swath Bottom(RelY um):16239.32,Swath Top X Wafer Position(um):-64991.01,Swath Top Y Wafer Position(um):33679.63,Swath Bottom X Wafer Position(um):65009.64,Swath Bottom Y Wafer Position(um):33261.01	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<information>	2022-01-13 00:00:30.553	Inspecting...Swath 12 of 82.	MainUI.General_System	kttool	11072	0x0	MainUI	1350185IS
<trace>	2022-01-13 00:00:31.247	DoRun - Polling got 1000 defects	MainUI.General_System	kttool	4188	0x0	MainUI	1350185IS
