Port No,2
Carrier ID,005463290000IMEC
Slot No,14
Lot ID,AL201894-B
Sample ID,Slot14
Recipe ID,RND\Alain\P-Line_support\C9_CONESI_LOC1-2_POSTCMP_5X5_2_270-AM

Tip Port No,1
Tip Cassette ID,Cassette1
Tip Slot No,1

Site ID,Site X,Site Y,Point No,X (um),Y (um),Method ID,State,FileName,Date,Tilt
0001_X000_Y000,0,0,1,1194.9099999999999,4586.030000000001,LOC1,COMPLETED,AL201894-B_Slot14_LOC1_0001_X000_Y000_0001,2022/05/23 12:20:55,38_CENTER
0001_X000_Y000,0,0,2,-2028.8199999999997,-5056.05,LOC2,COMPLETED,AL201894-B_Slot14_LOC2_0001_X000_Y000_0002,2022/05/23 12:25:25,38_CENTER
0002_X006_Y000,6,0,1,98028.91,4586.030000000001,LOC1,COMPLETED,AL201894-B_Slot14_LOC1_0002_X006_Y000_0001,2022/05/23 12:30:01,38_CENTER
0002_X006_Y000,6,0,2,94805.18,-5056.05,LOC2,COMPLETED,AL201894-B_Slot14_LOC2_0002_X006_Y000_0002,2022/05/23 12:34:29,38_CENTER
